Phaeanthus tephrocarpus
Crossandrella adamii
Vermivora bachmanii
Leucopeza semperi
Byssoloma permutans
Arthonia obscurella
Gyalideopsis chicaque
Bacidia proposita
Lecanactis proximans
Arthonia septemlocularis
Schismatomma leucopsarum
Ancistrosporella leucophila
Allophoron farinosum
Platythecium serpentinellum
Eugenia ruschiana
Mezilaurus microphylla
Cryptocarya sellowiana
Pleurothyrium amplifolium
Pavonia crispa
Pavonia ducke-limae
Pavonia sancti
Eugenia pithecocephala
Eugenia sessilifolia
Plinia rogersiana
Cupania moraesiana
Talisia granulosa
Vochysia talmonii
Leandra loligomorpha
Hirtella conduplicata
Acalypha fragilis
Pavonia spectabilis
Campomanesia sepalifolia
Ocotea sperata
Eugenia circumdata
Ilex sapiiformis
Tachigali acrensis
Hololepis hatschbachii
Pouteria velutinicarpa
Symplocos rizzinii
Pradosia lahoziana
Eugenia mollicoma
Ficus latipedunculata
Ocotea hypoglauca
Sorocea longipedicellata
Zollernia cowanii
Vitex snethlagiana
Eugenia theodorae
Cnidoscolus magni-gerdtii
Erythroxylum sobraleanum
Amazona auropalliata
Pandanus juliferus
Pandanus multibracteatus
Salvia buchii
Salvia haitiensis
Salvia primuliformis
Hypotrachyna virginica
Polyalthiopsis verrucipes
Myrcia arachnicola
Sageraea reticulata
Pseuduvaria taipingensis
Pseuduvaria gardneri
Adelophryne maranguapensis
Lycodon chrysoprateros
Acer iranicum
Polyalthia hirtifolia
Nomascus leucogenys
Oreopanax hypargyreus
Oreopanax killipii
Sciodaphyllum sararense
Critoniopsis cinerea
Critoniopsis cuatrecasasii
Diplostephium dentatum
Gynoxys hirsutissima
Zygia codonocalyx
Spirotheca mahechae
Metteniusa santanderensis
Miconia rava
Oreopanax cyclophyllus
Ilex bullata
Acalypha inaequilatera
Linochilus ellipticus
Lonchocarpus ellipticus
Lonchocarpus monophyllus
Calycorectes dominicanus
Rondeletia azuensis
Rondeletia feketeana
Coracornis sanghirensis
Syzygium pendulinum
Syzygium koumacense
Syzygium filiflorum
Syzygium tchambaense
Syzygium parvicarpum
Cyornis ruckii
Dicaeum quadricolor
Crocodylus intermedius
Myrcia tetraptera
Campylopterus phainopeplus
Gymnogyps californianus
Oedura lineata
Chondrohierax wilsonii
Celestus occiduus
Sitta insularis
Megophrys dzukou
Monanthotaxis couvreurii
Amazona lilacina
Eulidia yarrellii
Gallicolumba keayi
Ipomoea pochutlensis
Ipomoea ramulosa
Liparis superclareae
Ocotea heribertoi
Heliopais personatus
Perrottetia colorata
Cestrum killipii
Styrax lasiocalyx
Chomelia longiflora
Ardisia killipii
Phragmotheca mambitana
Aniba novogranatensis
Cordia ramirezii
Matisia sulcata
Brunellia rufa
Clusia diguensis
Geissanthus sessiliflorus
Myrsine perreticulata
Arachnothryx guettardioides
Myrcia estoraquensis
Elaeocarpus balabanii
Buteo ridgwayi
Trichomycterus santanderensis
Atlapetes blancae
Terenura sicki
Anaxyrus williamsi
Hapalemur alaotrensis
Eriocnemis godini
Gracula robusta
Mauremys annamensis
Barringtonia zainudiniana
Chiropterotriton casasi
Chiropterotriton ceronorum
Chiropterotriton totonacus
Chiropterotriton perotensis
Eremanthus ovatifolius
Geospiza heliobates
Eustigma honbaense
Homalium glandulosum
Lychnophora spiciformis
Machilus bokorensis
Machilus brevipaniculata
Toona calcicola
Palmeria dolei
Campephilus principalis
Anaxyrus monfontanus
Roppaneura beckeri
Cissa thalassina
Clusia rubescens
Sloanea helianthoides
Licaria tenuifolia
Ilex velutinulosa
Saurauia oroquensis
Oreopanax lawrancei
Critoniopsis franciscana
Sloanea huilaeana
Clusia lehmannii
Clusia nervosa
Lonchocarpus antioquiensis
Clusia caryophylloides
Ilex microsticta
Leucopsar rothschildi
Afrothismia pusilla
Foetidia africana
Myrcia neokiaerskovii
Cereus estevesii
Geniostoma triflorum
Cyornis banyumas
Anguloa cliftonii
Pycnonotus zeylanicus
Drypetes tessmanniana
Rhaptopetalum breteleri
Melicope adscendens
Myrcia anguerana
Cercocarpus traskiae
Sideroxylon alachuense
Diospyros andohahelensis
Myrcia carangola
Opisthoteuthis chathamensis
Quercus lungmaiensis
Quercus monnula
Quercus motuoensis
Quercus semiserratoides
Quercus thomsoniana
Quercus tomentosinervis
Quercus cambodiensis
Quercus pseudoverticillata
Quercus pinbianensis
Copelatus betampona
Copelatus zanatanensis
Inversodicraea senei
Rhinoplax vigil
Silene oreosinaica
Ballota kaiseri
Micromeria serbaliana
Acacia phlebophylla
Mimusops dodensis
Basselinia vestita
Clinosperma macrocarpa
Saribus jeanneneyi
Basselinia moorei
Burretiokentia koghiensis
Alphonsea keithii
Alphonsea kingii
Serruria pinnata
Diastella parilis
Diastella buekii
Serruria scoparia
Sorocephalus imbricatus
Leucadendron verticillatum
Protea namaquana
Sorocephalus palustris
Leucospermum harpagonatum
Leucadendron chamelaea
Sorocephalus crassifolius
Serruria flava
Serruria lacunosa
Serruria trilopha
Sorocephalus scabridus
Serruria florida
Serruria furcellata
Leucospermum fulgens
Leucadendron levisanus
Protea odorata
Protea holosericea
Leucadendron bonum
Leucadendron globosum
Protea nubigena
Leucadendron tradouwense
Leucadendron immoderatum
Leucospermum arenarium
Leucadendron flexuosum
Leucadendron macowanii
Mimetes stokoei
Protea inopina
Serruria aemula
Hypocreopsis amplectens
Weinmannia ysabelensis
Hopea scabra
Rosselia bracteata
Aglaia integrifolia
Horsfieldia sepikensis
Myristica brevistipes
Myristica coacta
Myristica simulans
Myristica sogeriensis
Guioa hospita
Elattostachys aiyurensis
Cupaniopsis bullata
Cupaniopsis napaensis
Cupaniopsis phanerophlebia
Calophyllum acutiputamen
Santalum macgregorii
Orania littoralis
Eugenia flavicarpa
Veronica oetaea
Andrias sligoi
Pristimantis atillo
Pristimantis jimenezi
Pristimantis teslai
Pristimantis verrucolatus
Pristimantis chocoensis
Phalaenopsis arunachalensis
Biermannia jainiana
Bulbophyllum arunachalense
Cheirostylis gunnarii
Cheirostylis sessanica
Cheirostylis tippica
Coelogyne hajrae
Cylindrolobus gloensis
Dendrobium nareshbahadurii
Diplomeris josephi
Gastrodia arunachalensis
Neottia confusa
Neottia dihangensis
Pleione arunachalensis
Ponerorchis pathakiana
Rhomboda arunachalensis
Spathoglottis arunachalensis
Pecteilis triflora
Peristylus sahanii
Eulophia obtusa
Dendrobium taprobanium
Isabelcristinia aromatica
Wrightoporia araucariae
Murdannia saddlepeakensis
Myrcia adulterina
Alseodaphnopsis hokouensis
Alseodaphnopsis marlipoensis
Alseodaphnopsis ximengensis
Cinnamomum glauciphyllum
Litsea sessilifructa
Oberonia jhae
Cryptocarya sheikelmudiyana
Gabbiella candida
Gabbiella parva
Gabbiella walleri
Pettancylus toroensis
Thrixspermum changlangensis
Cylindrolobus lohitensis
Quercus pseudosetulosa
Quercus trungkhanhensis
Quercus xuanlienensis
Potamolithus elenae
Potamolithus valchetensis
Gastrotheca litonedis
Haliplus gamma
Stylidium amabile
Melanophryniscus langonei
Euastacus dharawalus
Puya grantii
Gaultheria stereophylla
Krapfia grace-servatiae
Agave pelona
Oberonia bopannae
Haliplus insularis
Calliandra ricoana
Myrcia carassana
Myrcia revoluta
Fagraea dulitensis
Strobilanthes orientalis
Habenaria ankylocentron
Habenaria baliensis
Habenaria cauda-porcelli
Glochidion plagiophyllum
Psychotria yaoundensis
Psychotria torrenticola
Virectaria salicoides
Rhaphidophora bogneri
Caerostris tinamaze
Afrarchaea fernkloofensis
Symplocos paniensis
Myrsine paniensis
Couepia coarctata
Unonopsis sanctae-teresae
Luetzelburgia harleyi
Machaerium androvillosum
Beilschmiedia vestita
Oxandra unibracteata
Unonopsis bauxitae
Eremanthus arboreus
Eremanthus brevifolius
Mezilaurus glabriantha
Kielmeyera decipiens
Handroanthus grandiflorus
Muellera graciliflora
Ocotea grandifructa
Cinnamodendron occhionianum
Dicypellium manausense
Parapiptadenia ilheusana
Sloanea petalata
Macrocarpaea atlantica
Agrotis crinigera
Agrotis fasciata
Agrotis kerri
Agrotis laysanensis
Agrotis photophila
Agrotis procellaris
Agrotis cremata
Agrotis evanescens
Agrotis microreas
Agrotis panoplias
Cyrtostachys bakeri
Licuala longispadix
Myristica brachypoda
Orania bakeri
Orania deflexa
Orania gagavu
Orania grandiflora
Orania longistaminodia
Orania tabubilensis
Psychotria kajewskii
Ptychosperma pullenii
Atelopus halihelos
Atelopus eusebianus
Atelopus monohernandezii
Atelopus pedimarmoratus
Atelopus pictiventris
Telmatobius dankoi
Telmatobius vilamensis
Vepris montisbambutensis
Pandanus bantamensis
Pandanus multifurcatus
Pandanus pleiocephalus
Syzygium bengkulense
Ixora macrocotyla
Carex phylloscirpoides
Nothaphoebe annamensis
Adinandra plagiobasis
Drimycarpus maximus
Pitcairnia woronowii
Pitcairnia macrobotrys
Pitcairnia jaramilloi
Pitcairnia grubbiana
Pitcairnia fosteriana
Pitcairnia arenicola
Mezobromelia bicolor
Bromelia fragilis
Billbergia ambigua
Pitcairnia barrigae
Pitcairnia foreroi
Pitcairnia delicata
Pitcairnia altoatratoensis
Pitcairnia johannis
Pitcairnia occidentalis
Pitcairnia ramosii
Ronnbergia subpetiolata
Ronnbergia viridispica
Steyerbromelia naquenensis
Tillandsia acuminata
Tillandsia brevior
Tillandsia engleriana
Tillandsia excavata
Vriesea hodgei
Werauhia verrucosa
Aechmea baudoensis
Aechmea andaquiensis
Aechmea anomala
Tillandsia rariflora
Pera pulchrifolia
Miconia valentinensis
Symplocos microstyla
Symplocos angulata
Pachira moreirae
Byrsonima martiana
Eriotheca saxicola
Phyllanthus umbratus
Eugenia barrana
Eugenia tumescens
Eugenia culicina
Eugenia amorimii
Mollinedia jorgeorum
Pleroma fragae
Meriania inflata
Eschweilera sphaerocarpa
Acmanthera longifolia
Camellia quangcuongii
Habenaria livingstoniana
Polystachya minima
Myrcia siberiensis
Dicliptera leonotis
Brachyteles arachnoides
Brachyteles hypoxanthus
Callithrix flaviceps
Cebus aequatorialis
